. | . | . | . | . | ■ | . | . | . | . | . | ■ |
. | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ |
. | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ |
. | ■ | . | ■ | . | . | . | ■ | . | ■ | . | ■ |
. | . | . | . | . | ■ | . | . | . | . | . | ■ |
■ | ■ | . | ■ | ■ | ■ | ■ | ■ | . | ■ | ■ | ■ |
. | . | . | . | . | ■ | . | . | . | . | . | ■ |
. | ■ | . | ■ | . | . | . | ■ | . | ■ | . | ■ |
. | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ |
. | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ |
. | . | . | . | . | ■ | . | . | . | . | . | ■ |
