■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■
■ | . | . | . | . | . | . | . | . | . | . | . | .
■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■
. | . | . | . | . | . | ■ | . | . | . | . | . | ■
■ | . | ■ | ■ | ■ | . | ■ | ■ | ■ | . | ■ | ■ | ■
. | . | . | . | . | . | . | . | ■ | . | . | . | .
■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■
. | . | . | . | ■ | . | . | . | . | . | . | . | .
■ | ■ | ■ | . | ■ | ■ | ■ | . | ■ | ■ | ■ | . | ■
■ | . | . | . | . | . | ■ | . | . | . | . | . | .
■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■
. | . | . | . | . | . | . | . | . | . | . | . | ■
■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■ | . | ■


